Number,Major 1,Major 2,Terms
282,Industrial Eng & Ops Rsch BS,,1
283,Energy Engineering BS,,1
284,Materials Science & Eng BS,,1
285,Letters & Sci Undeclared UG,,1
286,Chemical Engineering BS,,1
287,Environmental Engineering BS,,1
288,Chemical Engineering BS,,1
289,Mechanical Engineering BS,,1
290,Chemical Engineering BS,,1
291,Chemical Engineering BS,,1
292,Chemical Engineering BS,,1
293,Chemical Engineering BS,,1
294,Nuclear Engineering BS,,1
295,Chemical Engineering BS,,1
296,Nuclear Engineering BS,,1
297,Letters & Sci Undeclared UG,,1
298,Civil Engineering BS,,1
299,Chemical Engineering BS,,1
300,Chemical Engineering BS,,1
301,Chemical Engineering BS,,1
302,Civil Engineering BS,,1
303,Nuclear Engineering BS,,1
304,Mechanical Engineering BS,,1
305,Industrial Eng & Ops Rsch BS,,1
306,Letters & Sci Undeclared UG,,1
307,Chemical Engineering BS,,1
308,Engineering Undeclared UG,,1
309,Nuclear Engineering BS,,1
310,Chemical Engineering BS,,1
311,Mechanical Engineering BS,,1
312,Chemical Engineering BS,,1
313,Chemical Engineering BS,,1
314,Industrial Eng & Ops Rsch BS,,1
315,Materials Science & Eng BS,,1
316,Bioengineering BS,,1
317,Chemical Engineering BS,,1
318,Mechanical Engineering BS,,1
319,Energy Engineering BS,,1
320,Mechanical Engineering BS,,1
321,Letters & Sci Undeclared UG,,1
322,Letters & Sci Undeclared UG,,1
323,Business Administration BS,,1
324,Mechanical Engineering BS,,1
325,Chemical Engineering BS,,1
326,Materials Science & Eng BS,,1
327,Letters & Sci Undeclared UG,,1
328,Nuclear Engineering BS,,1
329,Nuclear Engineering BS,,1
330,Engineering Undeclared UG,,1
331,Bioengineering BS,,1
332,Chemical Biology BS,,1
333,Nuclear Engineering BS,,1
334,Mechanical Engineering BS,,1
335,Chemical Engineering BS,,1
336,Chemical Biology BS,,1
337,Chemical Engineering BS,,1
338,Chemistry BS,,1
339,Letters & Sci Undeclared UG,,1
340,Chemical Engineering BS,,1
341,Chemical Engineering BS,,1
342,Letters & Sci Undeclared UG,,1
343,Aerospace Engineering BS,,1
344,Chemical Engineering BS,,1
345,Chemical Engineering BS,,1
346,Chemical Engineering BS,,1
347,Chemical Engineering BS,,1
348,Civil Engineering BS,,1
349,Mechanical Engineering BS,,1
350,Chemical Engineering BS,,1
351,Nuclear Engineering BS,,1
352,Chemical Engineering BS,,1
353,Mechanical Engineering BS,,1
354,Mechanical Engineering BS,,1
355,Nuclear Engineering BS,,1
356,Letters & Sci Undeclared UG,,1
357,Mechanical Engineering BS,,1
358,Chemical Engineering BS,,1
359,Chemical Engineering BS,,1
360,Chemical Engineering BS,,1
361,Letters & Sci Undeclared UG,,1
362,Civil Engineering BS,,1
363,Nuclear Engineering BS,,1
364,Mechanical Engineering BS,,1
365,Chemical Engineering BS,,5
366,Chemical Engineering BS,,5
367,Mechanical Engineering BS,,5
368,Mechanical Engineering BS,,5
369,Chemistry BS,,5
370,Letters & Sci Undeclared UG,,5
371,Bioengineering BS,,5
372,Chemical Engineering BS,,5
373,Letters & Sci Undeclared UG,,1
374,Bioengineering BS,,5
375,Mechanical Engineering BS,,5
376,Mechanical Engineering BS,,5
377,Mechanical Engineering BS,,5
378,Chemical Engineering BS,,5
379,Mathematics BA,,5
380,Physics BA,,5
381,Mechanical Engineering BS,,5
382,Chemical Engineering BS,,5
383,Chemical Engineering BS,,5
384,Mechanical Engineering BS,,5
385,Materials Science & Eng BS,,5
386,Mechanical Engineering BS,,5
387,Letters & Sci Undeclared UG,,5
388,Materials Science & Eng BS,,5
389,Nuclear Engineering BS,,5
390,Industrial Eng & Ops Rsch BS,,5
391,Mechanical Engineering BS,,5
392,Mechanical Engineering BS,,5
393,Chemical Engineering BS,,5
394,Aerospace Engineering BS,,5
395,Aerospace Engineering BS,,5
396,Bioengineering BS,,5
397,Mechanical Engineering BS,,5
398,Mechanical Engineering BS,,5
399,Mechanical Engineering BS,,5
400,Mechanical Engineering BS,,5
401,Chemical Engineering BS,,5
402,Chemical Engineering BS,,5
403,Chemical Engineering BS,,5
404,Art BA,,5
405,Environmental Sciences BS,,5
406,Industrial Eng & Ops Rsch BS,,5
407,Mechanical Engineering BS,,5
408,South & SE Asian Studies BA,,5
409,Mechanical Engineering BS,,5
410,Mechanical Engineering BS,,5
411,Analytics BA,,5
412,Mechanical Engineering BS,,5
413,Chemical Engineering BS,,5
414,Chemical Engineering BS,,5
415,Chemical Engineering BS,,5
416,Aerospace Engineering BS,,5
417,Aerospace Engineering BS,,5
418,Chemical Biology BS,,5
419,Aerospace Engineering BS,,5
420,Physics BA,,5
421,Mechanical Engineering BS,,5
422,Molecular & Cell Biology BA,,5
423,Aerospace Engineering BS,,5
424,Aerospace Engineering BS,,1
425,Letters & Sci Undeclared UG,,1
426,Non-UC Campus Visitor CCH UG,,5
427,Applied Mathematics BA,,5
428,Civil & Environmental Eng PhD,,G
429,Mechanical Engineering BS,,3
430,Letters & Sci Undeclared UG,,5
431,Letters & Sci Undeclared UG,,3
432,Letters & Sci Undeclared UG,,3
433,Statistics BA,,3
434,Letters & Sci Undeclared UG,,3
435,Mathematics BA,,7
436,Mechanical Engineering BS,,1
437,Chemical Engineering BS,,1
